N,,O,H,,3,4,,,,,,,,,,,,E,D,,J,5,,K
,,7,,B,D,5,J,1,G,9,,,,C,N,6,4,I,P,H,,F,,
9,,,,3,F,I,,N,H,M,,4,,E,K,C,,B,O,L,,,,A
D,,K,,,O,8,,,,,5,,1,,,,,2,9,,,I,,P
,,G,F,1,,,,C,E,,P,,O,,H,J,,,,N,9,6,,
2,1,,,O,E,P,N,G,,A,,,,4,,8,I,D,5,6,,,K,B
,4,,C,E,8,,,3,A,,I,H,B,,6,O,,,K,9,1,,N,
P,N,,7,8,,,F,,,,6,,E,,,,C,,,O,A,,H,G
,,,,D,1,,,I,,G,,,,9,,N,,,L,P,,,,
3,B,9,G,,6,2,,K,,O,,J,,5,,4,,P,F,,I,8,7,E
6,I,3,,N,,D,,,7,,E,,9,,O,,,F,,2,,M,J,C
,L,,B,,J,,,E,3,,,,,,I,D,,,6,,O,,1,
,H,2,,,,N,,M,6,4,,,,7,5,K,,8,,,,D,P,
1,,5,,,H,,,O,F,,G,,8,,C,P,,,4,,,7,,I
F,,D,4,7,,,5,P,,,,I,,,,H,B,,,G,K,A,,L
,J,P,L,F,,,,,4,,,,,,G,,,,,3,N,9,I,
,,,9,A,5,E,8,,,I,,,,K,,,H,N,3,B,4,,C,
M,3,,,K,,,,,2,N,,,,A,E,,,,,1,,,G,8
,,E,,I,N,,,6,,,,,,,,2,,,B,5,,H,,
G,,4,,2,,3,D,7,9,1,,,,L,J,I,M,A,,K,,P,,F
4,,,,,,1,P,9,,J,N,D,I,G,,3,6,K,,,,,,O
K,,8,,,,C,,J,,E,4,,P,B,,M,,9,,,,2,,1
,,,,C,2,F,O,,I,,,9,,,B,,D,L,A,J,,,,
,9,,,P,K,,,D,,,,L,,,,5,,,J,I,,,F,
,,J,,,,,A,4,,K,,1,,O,,7,2,,,,,B,,